Model,Year,Model Variant,Front,Rear,Park
518 Series,1974 - 1976,518 1.8 [E12] (272mm Solid Disc / Drum),DB161,,
518 Series,1977 - 1981,518 1.8 [E12] (280mm Solid Disc / Drum),DB161,,
518 Series,1977 - 1981,518 1.8 [E12] (280mm Vented Disc / Drum),DB163,,
518 Series,1981 - 1984,518 1.8 [E28] (284mm Solid Disc / Drum),DB256,,
518 Series,1984 - 1988,518i 1.8 [E28] (284mm Solid Disc / Disc),DB256,DB296,
518 Series,1989 - 1996,518i 1.8 [E34] (302mm Solid Disc / Disc),DB1131,DB1132,
518 Series,1989 - 1996,518i 1.8 [E34] (302mm Solid Disc / Drum),DB1131,,
518 Series,2013 - NOW,518d 2.0 Turbo Diesel Wagon [F11] (Std. 330mm / 330mm Disc),,DB2225,
518 Series,2013 - NOW,518d 2.0 Turbo Diesel Sedan [F10],DB2295,DB2225,
518 Series,2013 - NOW,518d 2.0 Turbo Diesel Wagon [F11] (Std. 330mm / 330mm Disc),DB2295,DB2225,
518 Series,2013 - NOW,520i 2.0 Sedan [F10],DB2295,DB2225,
